seccion_mm2,calibre,cu_60c,cu_75c,cu_90c,al_60c,al_75c,al_90c
2.08,14 AWG,15,20,25,,,
3.31,12 AWG,20,25,30,,,
5.26,10 AWG,30,35,40,,,
8.37,8 AWG,40,50,55,,,
13.3,6 AWG,55,65,75,40,50,55
21.2,4 AWG,70,85,95,55,65,75
33.6,2 AWG,95,115,130,75,90,100
53.5,1/0 AWG,125,150,170,100,120,135
67.4,2/0 AWG,145,175,195,115,135,150
85.0,3/0 AWG,165,200,225,130,155,175
107.2,4/0 AWG,195,230,260,150,180,205
127,250 MCM,215,255,290,170,205,230
152,300 MCM,240,285,320,195,230,260
177,350 MCM,260,310,350,210,250,280
203,400 MCM,280,335,380,225,270,305
253,500 MCM,320,380,430,260,310,350
304,600 MCM,350,420,475,285,340,385
380,750 MCM,400,475,535,320,385,435
507,1000 MCM,455,545,615,375,445,500
